"","frequency","pct"
"",2119,0.673767885532591
"CLJ209133",3,0.00095389507154213
"CLJ209357",3,0.00095389507154213
"CLJ206975",2,0.000635930047694754
"CLJ207507",2,0.000635930047694754
"CLJ207818",2,0.000635930047694754
"CLJ208164",2,0.000635930047694754
"CLJ208307",2,0.000635930047694754
"CLJ208466",2,0.000635930047694754
"CLJ209012",2,0.000635930047694754
"CLJ209085",2,0.000635930047694754
"CLJ209158",2,0.000635930047694754
"CLJ209281",2,0.000635930047694754
"CLJ209297",2,0.000635930047694754
"CLJ209307",2,0.000635930047694754
"CLJ209312",2,0.000635930047694754
"CLJ209425",2,0.000635930047694754
"CLJ209480",2,0.000635930047694754
"CLJ209530",2,0.000635930047694754
"CLJ209541",2,0.000635930047694754
"CLJ209678",2,0.000635930047694754
"CLJ209685",2,0.000635930047694754
"CLJ209692",2,0.000635930047694754
"CLJ209758",2,0.000635930047694754
"CLJ209765",2,0.000635930047694754
"CLJ209766",2,0.000635930047694754
"CLJ209931",2,0.000635930047694754
"CLJ210032",2,0.000635930047694754
"CLJ210097",2,0.000635930047694754
"CLJ210139",2,0.000635930047694754
"CLJ210164",2,0.000635930047694754
"CLJ210187",2,0.000635930047694754
"CLJ210553",2,0.000635930047694754
"CLJ210876",2,0.000635930047694754
"CLJ211037",2,0.000635930047694754
"CLJ-207559",1,0.000317965023847377
"CLJ109902",1,0.000317965023847377
"CLJ113CV245732",1,0.000317965023847377
"CLJ114CV265458",1,0.000317965023847377
"CLJ114CV272833",1,0.000317965023847377
"CLJ205669",1,0.000317965023847377
"CLJ206086",1,0.000317965023847377
"CLJ206181",1,0.000317965023847377
"CLJ206184",1,0.000317965023847377
"CLJ206190",1,0.000317965023847377
"CLJ206195",1,0.000317965023847377
"CLJ206204",1,0.000317965023847377
"CLJ206205",1,0.000317965023847377
"CLJ206210",1,0.000317965023847377
"CLJ206222",1,0.000317965023847377
"CLJ206224",1,0.000317965023847377
"CLJ206230",1,0.000317965023847377
"CLJ206234",1,0.000317965023847377
"CLJ206235",1,0.000317965023847377
"CLJ206236",1,0.000317965023847377
"CLJ206242",1,0.000317965023847377
"CLJ206245",1,0.000317965023847377
"CLJ206265",1,0.000317965023847377
"CLJ206267",1,0.000317965023847377
"CLJ206272",1,0.000317965023847377
"CLJ206274",1,0.000317965023847377
"CLJ206277",1,0.000317965023847377
"CLJ206282",1,0.000317965023847377
"CLJ206283",1,0.000317965023847377
"CLJ206284",1,0.000317965023847377
"CLJ206285",1,0.000317965023847377
"CLJ206287",1,0.000317965023847377
"CLJ206301",1,0.000317965023847377
"CLJ206303",1,0.000317965023847377
"CLJ206305",1,0.000317965023847377
"CLJ206310",1,0.000317965023847377
"CLJ206312",1,0.000317965023847377
"CLJ206320",1,0.000317965023847377
"CLJ206324",1,0.000317965023847377
"CLJ206352",1,0.000317965023847377
"CLJ206358",1,0.000317965023847377
"CLJ206367",1,0.000317965023847377
"CLJ206372",1,0.000317965023847377
"CLJ206385",1,0.000317965023847377
"CLJ206402",1,0.000317965023847377
"CLJ206421",1,0.000317965023847377
"CLJ206425",1,0.000317965023847377
"CLJ206432",1,0.000317965023847377
"CLJ206437",1,0.000317965023847377
"CLJ206438",1,0.000317965023847377
"CLJ206445",1,0.000317965023847377
"CLJ206453",1,0.000317965023847377
"CLJ206455",1,0.000317965023847377
"CLJ206457",1,0.000317965023847377
"CLJ206465",1,0.000317965023847377
"CLJ206475",1,0.000317965023847377
"CLJ206476",1,0.000317965023847377
"CLJ206477",1,0.000317965023847377
"CLJ206497",1,0.000317965023847377
"CLJ206498",1,0.000317965023847377
"CLJ206499",1,0.000317965023847377
"CLJ206503",1,0.000317965023847377
"CLJ206504",1,0.000317965023847377
"CLJ206507",1,0.000317965023847377
"CLJ206520",1,0.000317965023847377
