"","frequency","pct"
"Unknown",1009,0.320826709062003
"S",788,0.250556438791733
"M",645,0.205087440381558
"D",360,0.114467408585056
"P",169,0.0537360890302067
"DP",94,0.0298887122416534
"W",80,0.0254372019077901
