"","frequency","pct"
"Employed",1273,0.404769475357711
"Unknown",698,0.221939586645469
"Not Employed",672,0.213672496025437
"Could Not Determine",393,0.124960254372019
"Retired",98,0.0311605723370429
"Self-Employed",10,0.00317965023847377
"Not Applicable",1,0.000317965023847377
