"","American Indian/Alaska Native","Asian","Black","Hispanic","Native Hawaiian/Pacific Islander","Other","White"
"Population",1.1,28.8,3.5,25.4,2,9.4,60.4
"Eviction cases",1.08063175394846,6.17206982543641,7.50207813798836,32.5852036575229,2.16126350789692,32.0656691604323,17.477140482128
